"RbId";"tBeg";"tEnd";"tVol_m3";"maxIntens_m3_s";"tBSB_g";"outlet_id";"upstream_link_id";"gerris_id";"surface_water";"water_body_km";"y-coordinate";"x-coordinate";"lat_grad";"lat_min";"lat_s";"lon_grad";"lon_min";"lon_s";"comment"
"R1699";NA;NA;0;0;0;"14182011";"14182010.2";"R1699";"Landwehrkanal";8;25994.5;18794.6;52;29;45;13;25;9;NA
"R1696";2011-06-06 20:15:00;2011-06-08 11:30:00;132.408;0.0491;12.32;"14183002";"14183902.1";"R1696";"Landwehrkanal";7.7;25685.4;18683.5;52;29;42;13;24;42;NA
"R1697";NA;NA;0;0;0;"14183004";"14181004.2";"R1697";"Landwehrkanal";7.7;25676;18747.6;52;29;44;13;24;52;NA
"R1698";2011-06-06 20:15:00;2011-06-08 11:30:00;659.628;0.252;61.57;"14183005";"14183702.1";"R1698";"Landwehrkanal";7.7;25734.1;18695.9;52;29;42;13;24;55;NA
"R1704";2011-06-06 20:00:00;2011-06-08 13:00:00;796.473;0.26;86.03;"14184002";"14184001.2";"R1704";"Landwehrkanal";8.4;26398.4;18626.2;52;29;40;13;25;30;NA
"R1700";2011-06-06 20:30:00;2011-06-08 11:45:00;726.57;0.288;50.71;"14184003";"14186704.1";"R1700";"Landwehrkanal";8;26037.5;18770.7;52;29;45;13;25;11;NA
"R1701";NA;NA;0;0;0;"14184004";"14182008.2";"R1701";"Landwehrkanal";8.2;26200;18762;52;29;44;13;25;20;NA
"R1702";NA;NA;0;0;0;"14184005_1";"14182E05.1";"R1702";"Landwehrkanal";8.3;26257.4;18742.8;52;29;44;13;25;23;"suffix \"_1\" selbst hinzugefügt"
"R1757";NA;NA;0;0;0;"14184005_2";"14182009.2";"R1757";"Landwehrkanal";8.3;26257.4;18742.8;52;29;44;13;25;23;"Wehr, suffix \"_2\" selbst hinzugefügt"
"R1692";2011-06-06 20:30:00;2011-06-08 11:30:00;27.666;0.022;0;"14191001";"14193703.1";"R1692";"Landwehrkanal";7;25014.5;18833.8;52;29;47;13;24;17;NA
"R1693";2011-06-06 20:30:00;2011-06-08 11:45:00;83.34;0.0375;0;"14191002";"14193702.1";"R1693";"Landwehrkanal";7;25002;18835.3;52;29;47;13;24;16;NA
"R1691";2011-06-06 21:00:00;2011-06-08 11:15:00;598.095;0.429;10.76;"14191003";"14204905.1";"R1691";"Landwehrkanal";6.8;24848;18854.7;52;29;47;13;24;8;NA
"R1694";NA;NA;0;0;0;"14191004";"15195E01.1";"R1694";"Landwehrkanal";7;25054.4;18858.3;52;29;47;13;24;19;NA
"R1695";NA;NA;0;0;0;"14194003";"14192902.1";"R1695";"Landwehrkanal";7.5;25544.3;18725.1;52;29;43;13;24;45;NA
"R1686";NA;NA;0;0;0;"14201003";"15205006.1";"R1686";"Landwehrkanal";6.1;24172.1;18982.6;52;29;51;13;23;32;NA
"R1687";2011-06-06 19:45:00;2011-06-08 14:45:00;938.385;0.699;14.24;"14201010";"14201903.1";"R1687";"Landwehrkanal";6.1;24123.1;18956.9;52;29;51;13;23;29;NA
"R1690";NA;NA;0;0;0;"14202003";"15206E01.1";"R1690";"Landwehrkanal";6.5;24578;18961.4;52;29;51;13;23;54;NA
"R1689";NA;NA;0;0;0;"14202005";"15206951.1";"R1689";"Landwehrkanal";6.5;24514.5;18981.6;52;29;51;13;23;50;NA
"R1684";2011-06-06 20:30:00;2011-06-06 21:00:00;63.045;0.0468;3.95;"14212002";"14212903.1";"R1684";"Landwehrkanal";5.8;23903.1;18993.5;52;29;52;13;23;18;NA
"R1685";NA;NA;0;0;0;"14212011";"14201A01.1";"R1685";"Landwehrkanal";5.9;24004.6;18982.5;52;29;51;13;23;23;NA
"R157";NA;NA;0;0;0;"15153003";"15153004.1";"R157";"Spree";21.2;28264.6;19249.1;52;30;0;13;27;9;NA
"R156";NA;NA;0;0;0;"15156001";"15156901.1";"R156";"Spree";21.5;28569.1;19110.5;52;29;56;13;27;25;NA
"R159";NA;NA;0;0;0;"15161005";"15161011.2";"R159";"Spree";20.4;27500.8;19543.6;52;30;10;13;26;28;NA
"R158";NA;NA;0;0;0;"15162002";"15162703.1";"R158";"Spree";20.7;27823.6;19482.9;52;30;8;13;26;46;NA
"R1688";2011-06-06 19:45:00;2011-06-08 14:45:00;64.845;0.0159;0;"15205001";"15205504.1";"R1688";"Landwehrkanal";6.3;24379.7;19015.1;52;29;52;13;23;43;NA
"R1682";2011-06-06 16:15:00;2011-06-08 13:00:00;607.158;0.265;0;"15215003";"14211901.1";"R1682";"Landwehrkanal";5.3;23335.9;19116.6;52;29;56;13;22;48;NA
"R1683";2011-06-06 20:30:00;2011-06-06 20:45:00;25.2;0.0158;0.01;"15216001";"14212E07.1";"R1683";"Landwehrkanal";5.6;23671;19080.5;52;29;54;13;23;5;NA
"R1680";NA;NA;0;0;0;"15222004";"15222E05.1";"R1680";"Landwehrkanal";4.8;23072;19438;52;30;6;13;22;34;NA
"R1681";NA;NA;0;0;0;"15222009";"15222E08.1";"R1681";"Landwehrkanal";4.9;23135.4;19408.8;52;30;5;13;22;37;NA
"R1679";NA;NA;0;0;0;"15222010";"16226E04.1";"R1679";"Landwehrkanal";4.7;22983.3;19567.3;52;30;10;13;22;29;NA
"R1747";NA;NA;0;0;0;"16165002";"16165001.2";"R1747";"Spree";20.1;27268.9;19679.2;52;30;14;13;26;16;NA
"R165";NA;NA;0;0;0;"16172001";"16172005.1";"R165";"Spree";19.7;27002.4;20086.6;52;30;27;13;26;2;NA
"R1675";2011-06-06 20:30:00;2011-06-06 21:00:00;44.298;0.029;2.46;"16223006";"16223E05.1";"R1675";"Landwehrkanal";4;22412;19902;52;30;21;13;21;59;NA
"R1676";2011-06-06 20:30:00;2011-06-06 20:30:00;20.07;0.0223;0.01;"16223007";"16221001.1";"R1676";"Landwehrkanal";4;22411.3;19921;52;30;22;13;21;59;NA
"R1678";2011-06-06 20:45:00;2011-06-06 22:00:00;48.114;0.021;2.55;"16226005";"16226009.1";"R1678";"Landwehrkanal";4.5;22875;19661;52;30;13;13;22;23;NA
